Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
distance/static,2.7451586336165504e-7,2.736362814161141e-7,2.76526564553926e-7,4.176142041541323e-9,2.0158428965509026e-9,8.20113698730122e-9
distance/dynamic,2.839167953329877e-7,2.8341569524966093e-7,2.8559607621855083e-7,2.546990141651483e-9,9.436498841041642e-10,5.404448022514024e-9
distance/unboxed,2.750774639445848e-7,2.7482214566337627e-7,2.7545332145310505e-7,1.00545647893749e-9,6.866687742752143e-10,1.4990523167994005e-9
"distanceUB - bound (3/4)/static",1.2085955258943617e-7,1.206992448999273e-7,1.2106978926162864e-7,6.098402450772506e-10,5.008949183945017e-10,7.526996551222414e-10
"distanceUB - bound (3/4)/dynamic",1.3625737293516667e-7,1.3611263252250486e-7,1.364606315442281e-7,5.850826665731745e-10,4.359632774164253e-10,9.066394533782003e-10
"distanceUB - bound (3/4)/unboxed",1.3356087751910498e-7,1.333935130009251e-7,1.3378061294679553e-7,6.480074100541109e-10,4.935067649660743e-10,8.570314005005301e-10
"distanceUB - bound infinity/static",3.1873102939903137e-7,3.168708265789177e-7,3.2210571324910697e-7,8.11675609242407e-9,4.8638899110693246e-9,1.2188119103879152e-8
"distanceUB - bound infinity/dynamic",3.680843338132063e-7,3.6768810761762667e-7,3.685514241337646e-7,1.4373166903733408e-9,1.1859208469163907e-9,1.7324540869470153e-9
"distanceUB - bound infinity/unboxed",3.59526986294633e-7,3.5918690942445275e-7,3.599406541333231e-7,1.19671875155912e-9,9.258389436661026e-10,1.6301152633092406e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
